Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
pubsub-dapr-aks-java,com.azdaks.accountservice,AccountServiceApplication,0,0,1,1,5,1,0,0,-1.0,1,1
pubsub-dapr-aks-java,com.azdaks.accountservice,AccountServiceApplicationTests,0,0,1,0,4,1,0,0,-1.0,0,0
pubsub-dapr-aks-java,com.azdaks.accountservice.config,AccountServiceConfiguration,0,0,1,1,5,1,0,0,-1.0,0,0
pubsub-dapr-aks-java,com.azdaks.accountservice.controller,AccountsEventController,5,0,1,1,23,1,0,0,0.0,0,0
pubsub-dapr-aks-java,com.azdaks.accountservice.controller,TransferEventController,8,0,2,1,50,3,0,0,0.0,0,2
pubsub-dapr-aks-java,com.azdaks.accountservice.model,CreateAccountRequest,2,0,1,1,7,1,0,0,0.0,1,0
pubsub-dapr-aks-java,com.azdaks.accountservice.model,StateRequest,2,0,1,1,7,1,0,0,0.0,1,0
pubsub-dapr-aks-java,com.azdaks.accountservice.model,TransferRequest,4,0,1,1,9,1,0,0,0.0,0,0
pubsub-dapr-aks-java,com.azdaks.fraudservice.config,FraudServiceConfiguration,0,0,1,1,5,1,0,0,-1.0,0,0
pubsub-dapr-aks-java,com.azdaks.fraudservice.controller,TransferEventController,6,0,2,1,37,3,0,0,0.0,0,1
pubsub-dapr-aks-java,com.azdaks.fraudservice,FraudServiceApplication,1,0,1,1,8,1,0,0,0.0,1,1
pubsub-dapr-aks-java,com.azdaks.fraudservice,FraudServiceApplicationTests,0,0,1,0,4,1,0,0,-1.0,0,0
pubsub-dapr-aks-java,com.azdaks.fraudservice.model,StateRequest,2,0,1,1,7,1,0,0,0.0,1,0
pubsub-dapr-aks-java,com.azdaks.fraudservice.model,TransferRequest,4,0,1,1,9,1,0,0,0.0,0,0
pubsub-dapr-aks-java,com.azdaks.notificationservice.config,AccountServiceConfiguration,0,0,1,1,5,1,0,0,-1.0,0,0
pubsub-dapr-aks-java,com.azdaks.notificationservice.controller,TransferEventController,5,0,2,1,29,2,0,0,0.0,0,1
pubsub-dapr-aks-java,com.azdaks.notificationservice.model,StateRequest,2,0,1,1,7,1,0,0,0.0,1,0
pubsub-dapr-aks-java,com.azdaks.notificationservice.model,TransferRequest,4,0,1,1,9,1,0,0,0.0,0,0
pubsub-dapr-aks-java,com.azdaks.notificationservice,NotificationServiceApplication,0,0,1,1,5,1,0,0,-1.0,1,1
pubsub-dapr-aks-java,com.azdaks.notificationservice,NotificationServiceApplicationTests,0,0,1,0,4,1,0,0,-1.0,0,0
pubsub-dapr-aks-java,com.azdaks.publicapiservice.config,AccountServiceConfiguration,0,0,2,2,8,2,0,0,-1.0,0,0
pubsub-dapr-aks-java,com.azdaks.publicapiservice.controller,AccountsController,6,0,3,3,38,3,0,0,0.0,0,3
pubsub-dapr-aks-java,com.azdaks.publicapiservice.controller,HomeController,1,0,1,1,10,1,0,0,0.0,0,1
pubsub-dapr-aks-java,com.azdaks.publicapiservice.controller,StatesController,5,0,1,1,27,1,0,0,0.0,0,1
pubsub-dapr-aks-java,com.azdaks.publicapiservice.controller,TransfersController,6,0,2,2,48,3,0,0,0.0,0,4
pubsub-dapr-aks-java,com.azdaks.publicapiservice.model,AccountResponse,2,0,2,2,10,2,0,0,1.0,2,0
pubsub-dapr-aks-java,com.azdaks.publicapiservice.model,CreateAccountRequest,2,0,1,1,7,1,0,0,0.0,1,0
pubsub-dapr-aks-java,com.azdaks.publicapiservice.model,CreateAccountResponse,2,0,0,0,4,0,0,0,-1.0,1,1
pubsub-dapr-aks-java,com.azdaks.publicapiservice.model,HomeResponse,1,0,0,0,3,0,0,0,-1.0,1,0
pubsub-dapr-aks-java,com.azdaks.publicapiservice.model,MoneyTransfer,5,0,0,0,7,0,0,0,-1.0,2,0
pubsub-dapr-aks-java,com.azdaks.publicapiservice.model,StateRequest,2,0,1,1,7,1,0,0,0.0,0,0
pubsub-dapr-aks-java,com.azdaks.publicapiservice.model,TransferRequest,4,0,2,2,12,2,0,0,1.0,1,0
pubsub-dapr-aks-java,com.azdaks.publicapiservice.model,TransferResponse,3,0,0,0,5,0,0,0,-1.0,1,0
pubsub-dapr-aks-java,com.azdaks.publicapiservice.model,TransferStatus,4,4,0,0,6,0,0,0,-1.0,1,0
pubsub-dapr-aks-java,com.azdaks.publicapiservice,PublicApiServiceApplication,1,0,1,1,8,1,0,0,0.0,1,1
pubsub-dapr-aks-java,com.azdaks.publicapiservice,PublicApiServiceApplicationTests,0,0,1,0,4,1,0,0,-1.0,0,0
pubsub-dapr-aks-java,org.azdaks.test.e2e.api,ApiClient,4,0,1,1,13,1,0,0,0.0,1,4
pubsub-dapr-aks-java,org.azdaks.test.e2e.api,ApiRequest,0,0,2,2,8,2,0,0,-1.0,6,0
pubsub-dapr-aks-java,org.azdaks.test.e2e.api,ApiResponse,2,0,0,0,4,0,0,0,-1.0,1,0
pubsub-dapr-aks-java,org.azdaks.test.e2e.contract.request,CreateAccountRequest,2,0,0,0,4,0,0,0,-1.0,1,0
pubsub-dapr-aks-java,org.azdaks.test.e2e.contract.request,CreateTransferRequest,3,0,0,0,5,0,0,0,-1.0,2,0
pubsub-dapr-aks-java,org.azdaks.test.e2e.contract.response,AccountResponse,2,0,0,0,4,0,0,0,-1.0,2,0
pubsub-dapr-aks-java,org.azdaks.test.e2e.contract.response,CreateAccountResponse,2,0,0,0,4,0,0,0,-1.0,1,1
pubsub-dapr-aks-java,org.azdaks.test.e2e.contract.response,HomeResponse,1,0,0,0,3,0,0,0,-1.0,1,0
pubsub-dapr-aks-java,org.azdaks.test.e2e.contract.response,TransferResponse,6,0,0,0,8,0,0,0,-1.0,1,0
pubsub-dapr-aks-java,org.azdaks.test.e2e.endpoint,CreateAccountEndpoint,0,0,1,1,8,1,0,1,-1.0,0,4
pubsub-dapr-aks-java,org.azdaks.test.e2e.endpoint,CreateFraudMoneyTransferEndpoint,0,0,1,1,8,1,0,1,-1.0,0,4
pubsub-dapr-aks-java,org.azdaks.test.e2e.endpoint,CreateMoneyTransferEndpoint,0,0,1,1,8,1,0,1,-1.0,0,4
pubsub-dapr-aks-java,org.azdaks.test.e2e.endpoint,Endpoint,0,0,1,0,3,1,6,0,-1.0,1,1
pubsub-dapr-aks-java,org.azdaks.test.e2e.endpoint,GetAccountEndpoint,0,0,1,1,5,1,0,1,-1.0,0,2
pubsub-dapr-aks-java,org.azdaks.test.e2e.endpoint,GetMoneyTransferEndpoint,0,0,1,1,5,1,0,1,-1.0,0,2
pubsub-dapr-aks-java,org.azdaks.test.e2e.endpoint,HomeEndpoint,0,0,1,1,5,1,0,1,-1.0,0,2
pubsub-dapr-aks-java,org.azdaks.test.e2e,Main,2,0,1,1,12,1,0,0,0.0,0,1
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,3,0,9,8,97,9,0,0,0.0,0,8
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestSettings,7,0,0,0,9,0,0,0,-1.0,10,0
pubsub-dapr-aks-java,org.azdaks.test.e2e.util,Assert,0,0,4,4,30,8,0,0,-1.0,1,1
pubsub-dapr-aks-java,org.azdaks.test.e2e.util,Print,0,0,4,4,16,4,0,0,-1.0,6,0
