Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
quarkus-azure,io.quarkus.sample,IndexResource,redirect,4,1,0
quarkus-azure,io.quarkus.sample,Todo,Todo,2,1,0
quarkus-azure,io.quarkus.sample,Todo,Todo,7,1,5
quarkus-azure,io.quarkus.sample,Todo,getId,3,1,0
quarkus-azure,io.quarkus.sample,Todo,setId,3,1,1
quarkus-azure,io.quarkus.sample,Todo,getTitle,3,1,0
quarkus-azure,io.quarkus.sample,Todo,setTitle,3,1,1
quarkus-azure,io.quarkus.sample,Todo,isCompleted,3,1,0
quarkus-azure,io.quarkus.sample,Todo,setCompleted,3,1,1
quarkus-azure,io.quarkus.sample,Todo,getOrder,3,1,0
quarkus-azure,io.quarkus.sample,Todo,setOrder,3,1,1
quarkus-azure,io.quarkus.sample,Todo,getUrl,3,1,0
quarkus-azure,io.quarkus.sample,Todo,setUrl,3,1,1
quarkus-azure,io.quarkus.sample,Todo,toString,3,1,0
quarkus-azure,io.quarkus.sample,Todo,equals,10,3,1
quarkus-azure,io.quarkus.sample,Todo,hashCode,3,1,0
quarkus-azure,io.quarkus.sample,TodoRepository,findById,3,1,1
quarkus-azure,io.quarkus.sample,TodoRepository,persist,3,1,1
quarkus-azure,io.quarkus.sample,TodoRepository,delete,3,1,1
quarkus-azure,io.quarkus.sample,TodoRepository,findAll,3,1,0
quarkus-azure,io.quarkus.sample,TodoRepository,deleteCompleted,3,1,0
quarkus-azure,io.quarkus.sample,TodoResource,opt,3,1,0
quarkus-azure,io.quarkus.sample,TodoResource,getAll,3,1,0
quarkus-azure,io.quarkus.sample,TodoResource,getOne,7,2,1
quarkus-azure,io.quarkus.sample,TodoResource,create,4,1,1
quarkus-azure,io.quarkus.sample,TodoResource,update,11,2,2
quarkus-azure,io.quarkus.sample,TodoResource,deleteCompleted,4,1,0
quarkus-azure,io.quarkus.sample,TodoResource,deleteOne,8,2,1
quarkus-azure,io.quarkus.sample,TodoResourceTest,testInitialItems,5,1,0
quarkus-azure,io.quarkus.sample,TodoResourceTest,testAddingAnItem,7,1,0
quarkus-azure,io.quarkus.sample,TodoResourceTest,testUpdatingAnItem,6,1,0
quarkus-azure,io.quarkus.sample,TodoResourceTest,testDeletingAnItem,5,1,0
quarkus-azure,io.quarkus.sample,TodoResourceTest,testDeleteCompleted,5,1,0
quarkus-azure,io.quarkus.sample,TodoResourceTest,getTodoTypeRef,5,1,0
quarkus-azure,io.quarkus.sample,IndexResource,redirect,4,1,0
quarkus-azure,io.quarkus.sample,Todo,findNotCompleted,8,1,0
quarkus-azure,io.quarkus.sample,Todo,findCompleted,8,1,0
quarkus-azure,io.quarkus.sample,Todo,deleteCompleted,12,1,0
quarkus-azure,io.quarkus.sample,Todo,listAll,10,1,0
quarkus-azure,io.quarkus.sample,Todo,Todo,2,1,0
quarkus-azure,io.quarkus.sample,Todo,Todo,7,1,5
quarkus-azure,io.quarkus.sample,Todo,getId,3,1,0
quarkus-azure,io.quarkus.sample,Todo,setId,3,1,1
quarkus-azure,io.quarkus.sample,Todo,getTitle,3,1,0
quarkus-azure,io.quarkus.sample,Todo,setTitle,3,1,1
quarkus-azure,io.quarkus.sample,Todo,isCompleted,3,1,0
quarkus-azure,io.quarkus.sample,Todo,setCompleted,3,1,1
quarkus-azure,io.quarkus.sample,Todo,getOrder,3,1,0
quarkus-azure,io.quarkus.sample,Todo,setOrder,3,1,1
quarkus-azure,io.quarkus.sample,Todo,getUrl,3,1,0
quarkus-azure,io.quarkus.sample,Todo,setUrl,3,1,1
quarkus-azure,io.quarkus.sample,Todo,toString,3,1,0
quarkus-azure,io.quarkus.sample,Todo,equals,10,3,1
quarkus-azure,io.quarkus.sample,Todo,hashCode,3,1,0
quarkus-azure,io.quarkus.sample,TodoRepository,findById,3,1,1
quarkus-azure,io.quarkus.sample,TodoRepository,persist,3,1,1
quarkus-azure,io.quarkus.sample,TodoRepository,delete,3,1,1
quarkus-azure,io.quarkus.sample,TodoRepository,findAll,3,1,0
quarkus-azure,io.quarkus.sample,TodoRepository,deleteCompleted,3,1,0
quarkus-azure,io.quarkus.sample,TodoResource,opt,3,1,0
quarkus-azure,io.quarkus.sample,TodoResource,getAll,3,1,0
