Project Name,Package Name,Type Name,Code Smell
serverless-java-frameworks-samples,software.amazonaws.example.product.dao,DynamoProductDao,Unutilized Abstraction
serverless-java-frameworks-samples,software.amazonaws.example.product.dao,ProductDao,Unutilized Abstraction
serverless-java-frameworks-samples,software.amazonaws.example.product.dao,ProductMapper,Unutilized Abstraction
serverless-java-frameworks-samples,software.amazonaws.example.product.entity,Products,Unutilized Abstraction
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,CreateProductHandler,Unutilized Abstraction
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,DeleteProductHandler,Unutilized Abstraction
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,GetAllProductsHandler,Unutilized Abstraction
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,GetProductByIdHandler,Unutilized Abstraction
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,BaseProductHandler,Unutilized Abstraction
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,CreateProductHandler,Unutilized Abstraction
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,CreateProductHandler,Broken Hierarchy
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,DeleteProductHandler,Unutilized Abstraction
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,DeleteProductHandler,Broken Hierarchy
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,GetAllProductsHandler,Unutilized Abstraction
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,GetAllProductsHandler,Broken Hierarchy
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,GetProductByIdHandler,Unutilized Abstraction
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,GetProductByIdHandler,Broken Hierarchy
serverless-java-frameworks-samples,software.amazonaws.example.product,ProductComponent,Unutilized Abstraction
serverless-java-frameworks-samples,software.amazonaws.example.product,ProductModule,Unutilized Abstraction
serverless-java-frameworks-samples,software.amazonaws.example.product,FunctionLambdaRuntime,Unutilized Abstraction
serverless-java-frameworks-samples,software.amazonaws.example.product,PrimingResource,Unutilized Abstraction
serverless-java-frameworks-samples,software.amazonaws.example.product.product.dao,DynamoProductDao,Unutilized Abstraction
serverless-java-frameworks-samples,software.amazonaws.example.product.product.dao,ProductDao,Unutilized Abstraction
serverless-java-frameworks-samples,software.amazonaws.example.product.product.dao,ProductMapper,Unutilized Abstraction
serverless-java-frameworks-samples,software.amazonaws.example.product.product.handler,CreateProductHandler,Unutilized Abstraction
serverless-java-frameworks-samples,software.amazonaws.example.product.product.handler,DeleteProductHandler,Unutilized Abstraction
serverless-java-frameworks-samples,software.amazonaws.example.product.product.handler,GetAllProductsHandler,Unutilized Abstraction
serverless-java-frameworks-samples,software.amazonaws.example.product.product.handler,GetProductByIdHandler,Unutilized Abstraction
serverless-java-frameworks-samples,software.amazonaws.example.product.product.handler,CreateProductFunction,Unutilized Abstraction
serverless-java-frameworks-samples,software.amazonaws.example.product.product.handler,DeleteProductFunction,Unutilized Abstraction
serverless-java-frameworks-samples,software.amazonaws.example.product.product.handler,GetAllProductsFunction,Unutilized Abstraction
serverless-java-frameworks-samples,software.amazonaws.example.product.product.handler,GetProductByIdFunction,Unutilized Abstraction
serverless-java-frameworks-samples,software.amazonaws.example.product.product,PrimingResource,Unutilized Abstraction
