Project Name,Package Name,Type Name,Method Name,Code Smell
serverless-java-frameworks-samples,software.amazonaws.example.product.dao,DynamoProductDao,getProduct,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.dao,DynamoProductDao,putProduct,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.dao,DynamoProductDao,deleteProduct,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.dao,DynamoProductDao,getAllProduct,Magic Number
serverless-java-frameworks-samples,software.amazonaws.example.product.dao,DynamoProductDao,getProduct,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.dao,DynamoProductDao,putProduct,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.dao,DynamoProductDao,deleteProduct,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.dao,DynamoProductDao,getAllProduct,Magic Number
serverless-java-frameworks-samples,software.amazonaws.example.product.dao,ProductMapper,productToDynamoDb,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.entity,Product,setPrice,Magic Number
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,CreateProductHandler,handleRequest,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,CreateProductHandler,handleRequest,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,CreateProductHandler,handleRequest,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,CreateProductHandler,handleRequest,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,DeleteProductHandler,handleRequest,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,DeleteProductHandler,handleRequest,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,DeleteProductHandler,handleRequest,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,DeleteProductHandler,handleRequest,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,GetAllProductsHandler,handleRequest,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,GetAllProductsHandler,handleRequest,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,GetAllProductsHandler,handleRequest,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,GetProductByIdHandler,handleRequest,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,GetProductByIdHandler,handleRequest,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,GetProductByIdHandler,handleRequest,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,GetProductByIdHandler,handleRequest,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,CreateProductHandler,execute,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,CreateProductHandler,execute,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,CreateProductHandler,execute,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,CreateProductHandler,execute,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,DeleteProductHandler,execute,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,DeleteProductHandler,execute,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,DeleteProductHandler,execute,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,DeleteProductHandler,execute,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,GetAllProductsHandler,execute,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,GetAllProductsHandler,execute,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,GetAllProductsHandler,execute,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,GetProductByIdHandler,execute,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,GetProductByIdHandler,execute,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,GetProductByIdHandler,execute,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,GetProductByIdHandler,execute,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product,ProductModule,dynamoDbClient,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.product.dao,DynamoProductDao,getProduct,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.product.dao,DynamoProductDao,putProduct,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.product.dao,DynamoProductDao,deleteProduct,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.product.dao,DynamoProductDao,getAllProduct,Magic Number
serverless-java-frameworks-samples,software.amazonaws.example.product.product.dao,ProductMapper,productToDynamoDb,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.product.dao,DynamoProductDao,getProduct,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.product.dao,DynamoProductDao,putProduct,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.product.dao,DynamoProductDao,deleteProduct,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.product.dao,DynamoProductDao,getAllProduct,Magic Number
serverless-java-frameworks-samples,software.amazonaws.example.product.product.dao,DynamoProductDao,describeTable,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.product.dao,ProductMapper,productToDynamoDb,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.product.handler,CreateProductHandler,handleRequest,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.product.handler,CreateProductHandler,handleRequest,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.product.handler,CreateProductHandler,handleRequest,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.product.handler,CreateProductHandler,handleRequest,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.product.handler,DeleteProductHandler,handleRequest,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.product.handler,DeleteProductHandler,handleRequest,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.product.handler,DeleteProductHandler,handleRequest,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.product.handler,DeleteProductHandler,handleRequest,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.product.handler,GetAllProductsHandler,handleRequest,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.product.handler,GetAllProductsHandler,handleRequest,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.product.handler,GetAllProductsHandler,handleRequest,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.product.handler,GetProductByIdHandler,handleRequest,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.product.handler,GetProductByIdHandler,handleRequest,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.product.handler,GetProductByIdHandler,handleRequest,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.product.handler,GetProductByIdHandler,handleRequest,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.product.handler,CreateProductFunction,apply,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.product.handler,CreateProductFunction,apply,Long Statement
serverless-java-frameworks-samples,software.amazonaws.example.product.product.handler,CreateProductFunction,apply,Long Statement
