Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
serverless-java-frameworks-samples,software.amazonaws.example.product.dao,DynamoProductDao,DynamoProductDao,3,1,1
serverless-java-frameworks-samples,software.amazonaws.example.product.dao,DynamoProductDao,getProduct,9,2,1
serverless-java-frameworks-samples,software.amazonaws.example.product.dao,DynamoProductDao,putProduct,3,1,1
serverless-java-frameworks-samples,software.amazonaws.example.product.dao,DynamoProductDao,deleteProduct,3,1,1
serverless-java-frameworks-samples,software.amazonaws.example.product.dao,DynamoProductDao,getAllProduct,9,2,0
serverless-java-frameworks-samples,software.amazonaws.example.product.dao,ProductDao,getProduct,0,1,1
serverless-java-frameworks-samples,software.amazonaws.example.product.dao,ProductDao,putProduct,0,1,1
serverless-java-frameworks-samples,software.amazonaws.example.product.dao,ProductDao,deleteProduct,0,1,1
serverless-java-frameworks-samples,software.amazonaws.example.product.dao,ProductDao,getAllProduct,0,1,0
serverless-java-frameworks-samples,software.amazonaws.example.product.dao,ProductMapper,productFromDynamoDB,7,1,1
serverless-java-frameworks-samples,software.amazonaws.example.product.dao,ProductMapper,productToDynamoDb,7,1,1
serverless-java-frameworks-samples,software.amazonaws.example.product.dao,DynamoProductDao,getProduct,9,2,1
serverless-java-frameworks-samples,software.amazonaws.example.product.dao,DynamoProductDao,putProduct,3,1,1
serverless-java-frameworks-samples,software.amazonaws.example.product.dao,DynamoProductDao,deleteProduct,3,1,1
serverless-java-frameworks-samples,software.amazonaws.example.product.dao,DynamoProductDao,getAllProduct,9,2,0
serverless-java-frameworks-samples,software.amazonaws.example.product.dao,DynamoProductDao,describeTable,3,1,0
serverless-java-frameworks-samples,software.amazonaws.example.product.dao,ProductDao,getProduct,0,1,1
serverless-java-frameworks-samples,software.amazonaws.example.product.dao,ProductDao,putProduct,0,1,1
serverless-java-frameworks-samples,software.amazonaws.example.product.dao,ProductDao,deleteProduct,0,1,1
serverless-java-frameworks-samples,software.amazonaws.example.product.dao,ProductDao,getAllProduct,0,1,0
serverless-java-frameworks-samples,software.amazonaws.example.product.dao,ProductMapper,productFromDynamoDB,3,1,1
serverless-java-frameworks-samples,software.amazonaws.example.product.dao,ProductMapper,productToDynamoDb,3,1,1
serverless-java-frameworks-samples,software.amazonaws.example.product.entity,Product,Product,2,1,0
serverless-java-frameworks-samples,software.amazonaws.example.product.entity,Product,Product,5,1,3
serverless-java-frameworks-samples,software.amazonaws.example.product.entity,Product,getId,3,1,0
serverless-java-frameworks-samples,software.amazonaws.example.product.entity,Product,setId,3,1,1
serverless-java-frameworks-samples,software.amazonaws.example.product.entity,Product,getName,3,1,0
serverless-java-frameworks-samples,software.amazonaws.example.product.entity,Product,setName,3,1,1
serverless-java-frameworks-samples,software.amazonaws.example.product.entity,Product,getPrice,3,1,0
serverless-java-frameworks-samples,software.amazonaws.example.product.entity,Product,setPrice,3,1,1
serverless-java-frameworks-samples,software.amazonaws.example.product.entity,Product,toString,3,1,0
serverless-java-frameworks-samples,software.amazonaws.example.product.entity,Products,Products,3,1,1
serverless-java-frameworks-samples,software.amazonaws.example.product.entity,Products,getProducts,3,1,0
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,CreateProductHandler,CreateProductHandler,3,1,0
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,CreateProductHandler,handleRequest,19,3,2
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,DeleteProductHandler,DeleteProductHandler,3,1,0
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,DeleteProductHandler,handleRequest,18,3,2
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,GetAllProductsHandler,GetAllProductsHandler,3,1,0
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,GetAllProductsHandler,handleRequest,12,2,2
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,GetProductByIdHandler,GetProductByIdHandler,3,1,0
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,GetProductByIdHandler,handleRequest,17,3,2
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,BaseProductHandler,newApplicationContextBuilder,5,1,0
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,CreateProductHandler,execute,19,3,1
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,DeleteProductHandler,execute,18,3,1
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,GetAllProductsHandler,execute,12,2,1
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,GetProductByIdHandler,execute,17,3,1
serverless-java-frameworks-samples,software.amazonaws.example.product,ProductComponent,inject,0,1,1
serverless-java-frameworks-samples,software.amazonaws.example.product,ProductComponent,inject,0,1,1
serverless-java-frameworks-samples,software.amazonaws.example.product,ProductComponent,inject,0,1,1
