Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
sleuth-documentation-apps,io.spring.cloud.samples.docs.acceptance.common.tech,SpanUtil,idToHex,5,1,1
sleuth-documentation-apps,io.spring.cloud.samples.docs.acceptance.common.tech,SpanUtil,writeHexLong,10,1,3
sleuth-documentation-apps,io.spring.cloud.samples.docs.acceptance.common.tech,SpanUtil,writeHexByte,4,1,3
sleuth-documentation-apps,com.example.presentationservice,PresentationServiceApplication,main,3,1,1
sleuth-documentation-apps,com.example.presentationservice,PresentationServiceApplication,restTemplate,3,1,0
sleuth-documentation-apps,com.example.presentationservice,PresentationController,PresentationController,4,1,2
sleuth-documentation-apps,com.example.presentationservice,PresentationController,start,4,1,0
sleuth-documentation-apps,com.example.presentationservice,PresentationServiceApplicationTests,contextLoads,2,1,0
sleuth-documentation-apps,io.spring.cloud.sleuth.docs.service1,Application,webClient,3,1,0
sleuth-documentation-apps,io.spring.cloud.sleuth.docs.service1,Application,main,3,1,1
sleuth-documentation-apps,io.spring.cloud.sleuth.docs.service1,Service1Controller,Service1Controller,3,1,1
sleuth-documentation-apps,io.spring.cloud.sleuth.docs.service1,Service1Controller,start,3,1,0
sleuth-documentation-apps,io.spring.cloud.sleuth.docs.service1,Service1Controller,timeout,3,1,0
sleuth-documentation-apps,io.spring.cloud.sleuth.docs.service1,Service1Controller,postStart,3,1,0
sleuth-documentation-apps,io.spring.cloud.sleuth.docs.service1,Service1Controller,postTimeout,3,1,0
sleuth-documentation-apps,io.spring.cloud.sleuth.docs.service1,Service2Client,Service2Client,5,1,3
sleuth-documentation-apps,io.spring.cloud.sleuth.docs.service1,Service2Client,start,31,3,0
sleuth-documentation-apps,io.spring.cloud.sleuth.docs.service1,Service2Client,timeout,5,1,1
sleuth-documentation-apps,io.spring.cloud.sleuth.docs.service2,Application,restTemplate,27,1,0
sleuth-documentation-apps,io.spring.cloud.sleuth.docs.service2,Application,hasError,8,1,1
sleuth-documentation-apps,io.spring.cloud.sleuth.docs.service2,Application,handleError,9,1,1
sleuth-documentation-apps,io.spring.cloud.sleuth.docs.service2,Application,main,3,1,1
sleuth-documentation-apps,io.spring.cloud.sleuth.docs.service2,Service2Controller,Service2Controller,7,1,5
sleuth-documentation-apps,io.spring.cloud.sleuth.docs.service2,Service2Controller,memeOverflow,3,1,0
sleuth-documentation-apps,io.spring.cloud.sleuth.docs.service2,Service2Controller,service2MethodInController,12,1,0
sleuth-documentation-apps,io.spring.cloud.sleuth.docs.service2,Service2Controller,connectionTimeout,16,1,0
sleuth-documentation-apps,io.spring.cloud.sleuth.docs.service2,Service2Controller,blowUp,7,1,0
sleuth-documentation-apps,io.spring.cloud.sleuth.docs.service3,Application,main,3,1,1
sleuth-documentation-apps,io.spring.cloud.sleuth.docs.service3,Service3Controller,service3MethodInController,6,1,0
sleuth-documentation-apps,io.spring.cloud.sleuth.docs.service4,Application,main,3,1,1
sleuth-documentation-apps,io.spring.cloud.sleuth.docs.service4,Service4Controller,Service4Controller,3,1,1
sleuth-documentation-apps,io.spring.cloud.sleuth.docs.service4,Service4Controller,service4MethodInController,9,1,0
sleuth-documentation-apps,io.spring.cloud.samples.docs.zipkin,Application,main,3,1,1
