Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
sleuth-issues,com.example.deadlock.deferred,Customer,3,0,6,5,23,6,0,0,0.3333333333333333,0,0
sleuth-issues,com.example.deadlock.deferred,CustomerRepository,0,0,1,0,3,1,0,0,-1.0,0,0
sleuth-issues,com.example.deadlock.deferred,DeferredApplication,0,0,1,1,5,1,0,0,-1.0,1,1
sleuth-issues,com.example.deadlock.deferred,DeferredApplicationTests,0,0,1,1,4,1,0,0,-1.0,0,0
sleuth-issues,net.marcusolk.demo.jms,Application,2,0,2,2,13,2,0,0,1.0,1,1
sleuth-issues,net.marcusolk.demo.jms,MessageListener,1,0,1,1,13,1,0,0,0.0,0,1
sleuth-issues,net.marcusolk.demo.jms.configuration,ActiveMQConfiguration,3,0,1,0,11,1,0,0,0.0,0,0
sleuth-issues,net.marcusolk.demo.jms.configuration,CommonConfiguration,0,0,1,1,7,1,0,0,-1.0,0,0
sleuth-issues,net.marcusolk.demo.jms.configuration,LogstashLogbackJsonFactoryDecorator,0,0,1,1,9,1,0,0,-1.0,0,0
sleuth-issues,net.marcusolk.demo.jms.configuration,SleuthSampler,0,0,1,1,5,1,0,0,-1.0,0,0
sleuth-issues,net.marcusolk.demo.jms.configuration,TestConfiguration,0,0,1,0,5,1,0,0,-1.0,0,0
sleuth-issues,net.marcusolk.demo.jms.hello,HelloProxy,3,1,2,2,22,2,0,0,0.0,1,0
sleuth-issues,com.bracso.test.sleuth.webclient,Application,0,0,2,2,14,2,0,0,-1.0,1,1
sleuth-issues,com.bracso.test.sleuth.webclient,Employee,3,0,16,16,72,19,0,0,0.25,3,1
sleuth-issues,com.bracso.test.sleuth.webclient,EmployeeController,0,0,3,3,11,3,0,0,-1.0,0,1
sleuth-issues,com.bracso.test.sleuth.webclient,SleuthTest,3,0,1,1,21,4,0,0,0.0,0,1
sleuth-issues,(default package),MavenWrapperDownloader,5,0,3,1,84,8,0,0,1.0,0,0
sleuth-issues,(default package),MavenWrapperDownloader,5,0,3,1,84,8,0,0,1.0,0,0
sleuth-issues,(default package),MavenWrapperDownloader,4,0,2,1,73,6,0,0,1.0,0,0
sleuth-issues,(default package),MavenWrapperDownloader,4,0,2,1,73,6,0,0,1.0,0,0
sleuth-issues,(default package),MavenWrapperDownloader,4,0,2,1,73,6,0,0,1.0,0,0
sleuth-issues,com.example.demo,DemoApplication,0,0,2,1,8,2,0,0,-1.0,1,1
