Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
spring-chatgpt-sample,com.microsoft.azure.spring.chatgpt.sample.cli,AzSearchConfig,vectorStore,4,1,0
spring-chatgpt-sample,com.microsoft.azure.spring.chatgpt.sample.cli,CliApplication,main,3,1,1
spring-chatgpt-sample,com.microsoft.azure.spring.chatgpt.sample.cli,CliApplication,run,8,2,1
spring-chatgpt-sample,com.microsoft.azure.spring.chatgpt.sample.cli,Config,planner,3,1,2
spring-chatgpt-sample,com.microsoft.azure.spring.chatgpt.sample.cli,Config,azureOpenAIClient,4,1,0
spring-chatgpt-sample,com.microsoft.azure.spring.chatgpt.sample.cli,Config,vectorStore,3,1,0
spring-chatgpt-sample,com.microsoft.azure.spring.chatgpt.sample.common,AzureOpenAIClient,getEmbeddings,5,1,1
spring-chatgpt-sample,com.microsoft.azure.spring.chatgpt.sample.common,AzureOpenAIClient,getChatCompletions,6,1,1
spring-chatgpt-sample,com.microsoft.azure.spring.chatgpt.sample.common,ChatPlanner,chat,18,3,1
spring-chatgpt-sample,com.microsoft.azure.spring.chatgpt.sample.common,DocumentIndexPlanner,buildFromFolder,21,3,1
spring-chatgpt-sample,com.microsoft.azure.spring.chatgpt.sample.common,TextSplitter,split,3,1,1
spring-chatgpt-sample,com.microsoft.azure.spring.chatgpt.sample.common,TextSplitter,split,33,8,2
spring-chatgpt-sample,com.microsoft.azure.spring.chatgpt.sample.common,TextSplitter,getEncodedTokens,3,1,1
spring-chatgpt-sample,com.microsoft.azure.spring.chatgpt.sample.common,TextSplitter,decodeTokens,3,1,1
spring-chatgpt-sample,com.microsoft.azure.spring.chatgpt.sample.common.prompt,PromptTemplate,formatWithContext,4,1,2
spring-chatgpt-sample,com.microsoft.azure.spring.chatgpt.sample.common.reader,SimpleFolderReader,run,16,2,1
spring-chatgpt-sample,com.microsoft.azure.spring.chatgpt.sample.common.reader,SimpleFolderReader,getFileExtension,9,2,1
spring-chatgpt-sample,com.microsoft.azure.spring.chatgpt.sample.common.vectorstore,AzureCognitiveSearchVectorStore,AzureCognitiveSearchVectorStore,3,1,1
spring-chatgpt-sample,com.microsoft.azure.spring.chatgpt.sample.common.vectorstore,AzureCognitiveSearchVectorStore,saveDocument,3,1,1
spring-chatgpt-sample,com.microsoft.azure.spring.chatgpt.sample.common.vectorstore,AzureCognitiveSearchVectorStore,getDocument,3,1,1
spring-chatgpt-sample,com.microsoft.azure.spring.chatgpt.sample.common.vectorstore,AzureCognitiveSearchVectorStore,removeDocument,3,1,1
spring-chatgpt-sample,com.microsoft.azure.spring.chatgpt.sample.common.vectorstore,AzureCognitiveSearchVectorStore,searchTopKNearest,3,1,2
spring-chatgpt-sample,com.microsoft.azure.spring.chatgpt.sample.common.vectorstore,AzureCognitiveSearchVectorStore,searchTopKNearest,5,1,3
spring-chatgpt-sample,com.microsoft.azure.spring.chatgpt.sample.common.vectorstore,AzureCognitiveSearchVectorStore,persist,2,1,0
spring-chatgpt-sample,com.microsoft.azure.spring.chatgpt.sample.common.vectorstore,EmbeddingMath,cosineSimilarity,12,3,2
spring-chatgpt-sample,com.microsoft.azure.spring.chatgpt.sample.common.vectorstore,EmbeddingMath,dotProduct,10,3,2
spring-chatgpt-sample,com.microsoft.azure.spring.chatgpt.sample.common.vectorstore,EmbeddingMath,norm,3,1,1
spring-chatgpt-sample,com.microsoft.azure.spring.chatgpt.sample.common.vectorstore,SimpleMemoryVectorStore,SimpleMemoryVectorStore,3,1,0
spring-chatgpt-sample,com.microsoft.azure.spring.chatgpt.sample.common.vectorstore,SimpleMemoryVectorStore,SimpleMemoryVectorStore,7,2,1
spring-chatgpt-sample,com.microsoft.azure.spring.chatgpt.sample.common.vectorstore,SimpleMemoryVectorStore,SimpleMemoryVectorStore,7,2,2
spring-chatgpt-sample,com.microsoft.azure.spring.chatgpt.sample.common.vectorstore,SimpleMemoryVectorStore,saveDocument,3,1,1
spring-chatgpt-sample,com.microsoft.azure.spring.chatgpt.sample.common.vectorstore,SimpleMemoryVectorStore,getDocument,3,1,1
spring-chatgpt-sample,com.microsoft.azure.spring.chatgpt.sample.common.vectorstore,SimpleMemoryVectorStore,removeDocument,3,1,1
spring-chatgpt-sample,com.microsoft.azure.spring.chatgpt.sample.common.vectorstore,SimpleMemoryVectorStore,searchTopKNearest,3,1,2
spring-chatgpt-sample,com.microsoft.azure.spring.chatgpt.sample.common.vectorstore,SimpleMemoryVectorStore,searchTopKNearest,5,1,3
spring-chatgpt-sample,com.microsoft.azure.spring.chatgpt.sample.common.vectorstore,SimpleMemoryVectorStore,persist,12,2,0
spring-chatgpt-sample,com.microsoft.azure.spring.chatgpt.sample.common.vectorstore,SimpleMemoryVectorStore,loadFromJsonFile,10,1,1
spring-chatgpt-sample,com.microsoft.azure.spring.chatgpt.sample.common.vectorstore,VectorStore,saveDocument,0,1,1
spring-chatgpt-sample,com.microsoft.azure.spring.chatgpt.sample.common.vectorstore,VectorStore,getDocument,0,1,1
spring-chatgpt-sample,com.microsoft.azure.spring.chatgpt.sample.common.vectorstore,VectorStore,removeDocument,0,1,1
spring-chatgpt-sample,com.microsoft.azure.spring.chatgpt.sample.common.vectorstore,VectorStore,searchTopKNearest,0,1,2
spring-chatgpt-sample,com.microsoft.azure.spring.chatgpt.sample.common.vectorstore,VectorStore,searchTopKNearest,0,1,3
spring-chatgpt-sample,com.microsoft.azure.spring.chatgpt.sample.common.vectorstore,VectorStore,persist,0,1,0
spring-chatgpt-sample,com.microsoft.azure.spring.chatgpt.sample.webapi,AzSearchConfig,vectorStore,4,1,0
spring-chatgpt-sample,com.microsoft.azure.spring.chatgpt.sample.webapi,Config,planner,3,1,2
spring-chatgpt-sample,com.microsoft.azure.spring.chatgpt.sample.webapi,Config,azureOpenAIClient,4,1,0
spring-chatgpt-sample,com.microsoft.azure.spring.chatgpt.sample.webapi,Config,vectorStore,3,1,0
spring-chatgpt-sample,com.microsoft.azure.spring.chatgpt.sample.webapi,SpringChatgptSampleApplication,main,3,1,1
spring-chatgpt-sample,com.microsoft.azure.spring.chatgpt.sample.webapi,SpringChatgptSampleApplication,corsConfigurer,8,1,0
spring-chatgpt-sample,com.microsoft.azure.spring.chatgpt.sample.webapi,SpringChatgptSampleApplication,addCorsMappings,3,1,1
spring-chatgpt-sample,com.microsoft.azure.spring.chatgpt.sample.webapi.controllers,ChatController,chatCompletion,3,1,1
