Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
the-legacy-app,(default package),MavenWrapperDownloader,5,0,3,1,84,8,0,0,1.0,0,0
the-legacy-app,com.example.legacyapp.dto,Charge,3,0,0,0,8,0,0,0,-1.0,2,0
the-legacy-app,com.example.legacyapp.dto,Charges,1,0,0,0,6,0,0,0,-1.0,6,0
the-legacy-app,com.example.legacyapp.services,CustomerRentalHistoryManager,0,0,1,0,6,1,2,0,-1.0,5,0
the-legacy-app,com.example.legacyapp.services,CustomerRentalHistoryManagerImpl,1,0,2,1,29,4,0,1,0.0,0,2
the-legacy-app,com.example.legacyapp.services,CustomerRentalHistoryManagerImplTests,1,0,2,1,15,2,0,0,0.0,1,3
the-legacy-app,com.example.legacyapp.services,Config,0,0,1,0,5,1,0,0,-1.0,0,0
the-legacy-app,com.example.legacyapp.services,CustomerWithStubRunnerExternalContractsTests,1,0,1,1,11,1,0,0,0.0,0,2
the-legacy-app,com.example.legacyapp.services,CustomerWithStubRunnerProxyTests,1,0,2,1,16,2,0,0,0.0,1,3
the-legacy-app,com.example.legacyapp.services,Config,0,0,1,0,5,1,0,0,-1.0,0,0
the-legacy-app,com.example.legacyapp.services,CustomerWithStubRunnerTests,1,0,1,1,11,1,0,0,0.0,0,2
the-legacy-app,com.example.legacyapp.services,OnlineModeTests,0,0,1,1,10,1,0,0,-1.0,0,0
the-legacy-app,com.example.legacyapp.services,TheStub,0,0,2,1,19,2,0,1,-1.0,0,2
the-legacy-app,com.example.legacyapp.controllers,FraudDetectionImplBaseController,1,0,1,0,13,2,0,0,0.0,1,1
the-legacy-app,com.example.legacyapp.controllers,FraudResponse,2,0,0,0,4,0,0,0,-1.0,0,0
the-legacy-app,com.example.legacyapp.controllers,BaseClass,0,0,2,2,18,4,0,0,-1.0,0,1
the-legacy-app,com.example.legacyapp,TheLegacyApp,0,0,1,1,5,1,0,0,-1.0,1,1
the-legacy-app,com.example.contracts,BaseClass,0,0,2,2,12,2,0,0,-1.0,0,0
the-legacy-app,com.example.proxy,AbstractStubsFromProxy,2,0,7,2,55,8,1,0,0.5714285714285714,1,1
the-legacy-app,com.example.proxy,Config,0,0,1,0,6,1,0,0,-1.0,0,0
the-legacy-app,com.example.proxy,CreateStubsFromProxyTests,0,0,3,1,13,3,0,1,-1.0,0,0
