Project Name,Package Name,Type Name,Code Smell
tut-rest,payroll,EmployeeController,Cyclic-Dependent Modularization
tut-rest,payroll,EmployeeModelAssembler,Cyclic-Dependent Modularization
tut-rest,payroll,EmployeeNotFoundAdvice,Unutilized Abstraction
tut-rest,payroll,EmployeeRepository,Unnecessary Abstraction
tut-rest,payroll,LoadDatabase,Unutilized Abstraction
tut-rest,payroll,Employee,Unutilized Abstraction
tut-rest,payroll,EmployeeController,Unutilized Abstraction
tut-rest,payroll,EmployeeModelAssembler,Unutilized Abstraction
tut-rest,payroll,EmployeeNotFoundAdvice,Unutilized Abstraction
tut-rest,payroll,EmployeeNotFoundException,Unutilized Abstraction
tut-rest,payroll,EmployeeRepository,Unnecessary Abstraction
tut-rest,payroll,EmployeeRepository,Unutilized Abstraction
tut-rest,payroll,LoadDatabase,Unutilized Abstraction
tut-rest,payroll,OrderController,Cyclic-Dependent Modularization
tut-rest,payroll,OrderModelAssembler,Cyclic-Dependent Modularization
tut-rest,payroll,OrderNotFoundException,Unutilized Abstraction
tut-rest,payroll,OrderRepository,Unnecessary Abstraction
tut-rest,payroll,PayrollApplication,Unutilized Abstraction
tut-rest,payroll,RootController,Unutilized Abstraction
tut-rest,payroll,Employee,Unutilized Abstraction
tut-rest,payroll,EmployeeController,Unutilized Abstraction
tut-rest,payroll,EmployeeNotFoundAdvice,Unutilized Abstraction
tut-rest,payroll,EmployeeNotFoundException,Unutilized Abstraction
tut-rest,payroll,EmployeeRepository,Unnecessary Abstraction
tut-rest,payroll,EmployeeRepository,Unutilized Abstraction
tut-rest,payroll,LoadDatabase,Unutilized Abstraction
tut-rest,payroll,PayrollApplication,Unutilized Abstraction
tut-rest,payroll,Employee,Unutilized Abstraction
tut-rest,payroll,EmployeeController,Unutilized Abstraction
tut-rest,payroll,EmployeeNotFoundAdvice,Unutilized Abstraction
tut-rest,payroll,EmployeeNotFoundException,Unutilized Abstraction
tut-rest,payroll,EmployeeRepository,Unnecessary Abstraction
tut-rest,payroll,EmployeeRepository,Unutilized Abstraction
tut-rest,payroll,LoadDatabase,Unutilized Abstraction
tut-rest,payroll,PayrollApplication,Unutilized Abstraction
