Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
tut-rest,payroll,Employee,4,0,15,13,57,17,0,0,0.13333333333333333,6,0
tut-rest,payroll,EmployeeController,2,0,6,0,37,6,0,0,0.0,6,4
tut-rest,payroll,EmployeeModelAssembler,0,0,1,1,5,1,0,0,-1.0,2,2
tut-rest,payroll,EmployeeNotFoundAdvice,0,0,1,0,5,1,0,0,-1.0,0,1
tut-rest,payroll,EmployeeNotFoundException,0,0,1,0,5,1,0,0,-1.0,4,0
tut-rest,payroll,EmployeeRepository,0,0,0,0,2,0,0,0,-1.0,8,0
tut-rest,payroll,LoadDatabase,1,0,1,0,10,1,0,0,0.0,0,1
tut-rest,payroll,PayrollApplication,0,0,1,1,5,1,0,0,-1.0,4,1
tut-rest,payroll,Employee,4,0,15,13,57,17,0,0,0.13333333333333333,0,0
tut-rest,payroll,EmployeeController,3,0,6,0,39,6,0,0,0.0,0,5
tut-rest,payroll,EmployeeModelAssembler,0,0,1,1,5,1,0,0,-1.0,0,2
tut-rest,payroll,EmployeeNotFoundAdvice,0,0,1,0,5,1,0,0,-1.0,0,1
tut-rest,payroll,EmployeeNotFoundException,0,0,1,0,5,1,0,0,-1.0,0,0
tut-rest,payroll,EmployeeRepository,0,0,0,0,2,0,0,0,-1.0,0,0
tut-rest,payroll,LoadDatabase,1,0,1,0,17,1,0,0,0.0,0,2
tut-rest,payroll,Order,3,0,11,9,41,13,0,0,0.18181818181818182,2,0
tut-rest,payroll,OrderController,2,0,6,0,37,8,0,0,0.0,3,4
tut-rest,payroll,OrderModelAssembler,0,0,1,1,10,2,0,0,-1.0,2,2
tut-rest,payroll,OrderNotFoundException,0,0,1,0,5,1,0,0,-1.0,0,0
tut-rest,payroll,OrderRepository,0,0,0,0,2,0,0,0,-1.0,2,0
tut-rest,payroll,PayrollApplication,0,0,1,1,5,1,0,0,-1.0,0,1
tut-rest,payroll,RootController,0,0,1,0,8,1,0,0,-1.0,0,2
tut-rest,payroll,Employee,3,0,11,9,41,13,0,0,0.18181818181818182,0,0
tut-rest,payroll,EmployeeController,1,0,6,0,29,6,0,0,0.0,0,2
tut-rest,payroll,EmployeeNotFoundAdvice,0,0,1,0,5,1,0,0,-1.0,0,1
tut-rest,payroll,EmployeeNotFoundException,0,0,1,0,5,1,0,0,-1.0,0,0
tut-rest,payroll,EmployeeRepository,0,0,0,0,2,0,0,0,-1.0,0,0
tut-rest,payroll,LoadDatabase,1,0,1,0,10,1,0,0,0.0,0,1
tut-rest,payroll,PayrollApplication,0,0,1,1,5,1,0,0,-1.0,0,1
tut-rest,payroll,Employee,3,0,11,9,41,13,0,0,0.18181818181818182,0,0
tut-rest,payroll,EmployeeController,1,0,6,0,31,6,0,0,0.0,0,3
tut-rest,payroll,EmployeeNotFoundAdvice,0,0,1,0,5,1,0,0,-1.0,0,1
tut-rest,payroll,EmployeeNotFoundException,0,0,1,0,5,1,0,0,-1.0,0,0
tut-rest,payroll,EmployeeRepository,0,0,0,0,2,0,0,0,-1.0,0,0
tut-rest,payroll,LoadDatabase,1,0,1,0,10,1,0,0,0.0,0,1
tut-rest,payroll,PayrollApplication,0,0,1,1,5,1,0,0,-1.0,0,1
