Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,CatalogItemEntity,CatalogItemEntity,2,1,0
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,CatalogItemEntity,getItemId,3,1,0
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,CatalogItemEntity,setItemId,3,1,1
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,CatalogItemEntity,getName,3,1,0
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,CatalogItemEntity,setName,3,1,1
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,CatalogItemEntity,getDesc,3,1,0
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,CatalogItemEntity,setDesc,3,1,1
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,CatalogItemEntity,getPrice,3,1,0
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,CatalogItemEntity,setPrice,3,1,1
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,CatalogItemEntity,getInventory,3,1,0
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,CatalogItemEntity,setInventory,3,1,1
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,CatalogItemEntity,toString,3,1,0
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,InventoryEntity,InventoryEntity,2,1,0
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,InventoryEntity,getItemId,3,1,0
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,InventoryEntity,setItemId,3,1,1
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,InventoryEntity,getLocation,3,1,0
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,InventoryEntity,setLocation,3,1,1
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,InventoryEntity,getQuantity,3,1,0
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,InventoryEntity,setQuantity,3,1,1
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,InventoryEntity,getLink,3,1,0
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,InventoryEntity,setLink,3,1,1
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,InventoryEntity,toString,3,1,0
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,Order,Order,2,1,0
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,Order,getOrderId,3,1,0
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,Order,setOrderId,3,1,1
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,Order,getCustomerName,3,1,0
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,Order,setCustomerName,3,1,1
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,Order,getCustomerEmail,3,1,0
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,Order,setCustomerEmail,3,1,1
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,Order,getOrderValue,3,1,0
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,Order,setOrderValue,3,1,1
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,Order,getRetailPrice,3,1,0
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,Order,setRetailPrice,3,1,1
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,Order,getDiscount,3,1,0
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,Order,setDiscount,3,1,1
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,Order,getShippingFee,3,1,0
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,Order,setShippingFee,3,1,1
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,Order,getShippingDiscount,3,1,0
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,Order,setShippingDiscount,3,1,1
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,Order,setItemList,3,1,1
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,Order,getItemList,3,1,0
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,Order,toString,3,1,0
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,OrderItem,OrderItem,2,1,0
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,OrderItem,getProductId,3,1,0
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,OrderItem,setProductId,3,1,1
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,OrderItem,getQuantity,3,1,0
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,OrderItem,setQuantity,3,1,1
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,OrderItem,toString,3,1,0
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,Product,getItemId,0,1,0
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,Product,setItemId,0,1,1
workshop-migrate-jboss-on-app-service,com.redhat.coolstore.model,Product,getName,0,1,0
